恒大世纪广场  精装修   看房方便  业主诚心出售,恒大世纪广场,西客站,3室1厅 ,109.0, 南 北 , 精装 ,27, 板楼,2,11,1550000.0,"14,221元/平",VR看装修 随时看房 
阳光100精装三室，中楼层，采光充足,阳光100国际新城K区,阳光100区,3室2厅 ,103.06, 西南 , 精装 ,33, 板楼,77, 11个月以前发布,1650000.0,"16,011元/平",VR看装修 房本满两年 
7层洋房带电梯 复式 客厅3.8米层高 花园洋房交通便利,阳光100国际新城A区,阳光100区,5室2厅 ,173.0, 南 北 , 精装 ,7, 板楼,26, 7个月以前发布,3200000.0,"18,498元/平",VR房源 房本满五年 
新上房源 精装双阳台 好楼层 满二 可看房！,西城济水上苑,西客站,3室2厅 ,137.32, 南 北 , 精装 ,25, 板楼,8, 3个月以前发布,1860000.0,"13,546元/平",VR看装修 房本满两年 
二环内，经十路沿线，精装修，拎包入住，南北通透,财富壹号,段店,3室2厅 ,137.8, 南 北 , 精装 ,31, 板楼,7,14,2300000.0,"16,691元/平",VR看装修 
印象济南东，精装三室，南北通透，诚心出售。,恒大金碧新城,西客站,3室2厅 ,112.58, 南 北 , 精装 ,27, 板楼,8,9,1470000.0,"13,058元/平",VR看装修 
金科城一期 中间楼层 精装修 有车位地下室,金科城,西客站,3室2厅 ,101.18, 南 北 , 精装 ,34, 板楼,19, 4个月以前发布,1420000.0,"14,035元/平",VR看装修 房本满两年 
恒大世纪广场 3室1厅 南 北,恒大世纪广场,西客站,3室1厅 ,93.97, 南 北 , 精装 ,32, 板楼,12, 1个月以前发布,1260000.0,"13,409元/平",VR看装修 房本满两年 
阳光100大两室 诚心出售 高楼层 采光好 带大露台,阳光100国际新城G区,阳光100区,2室2厅 ,93.18, 西北 , 精装 ,26, 板塔结合,55, 一年前发布,1280000.0,"13,737元/平",VR看装修 房本满五年 随时看房 
吉尔北苑中间楼层，边户南北朝向，带储藏室，满五唯一,吉尔北苑,南辛庄,2室1厅 ,64.21, 南 , 简装 ,6, 板楼,14, 4个月以前发布,1090000.0,"16,976元/平",VR看装修 房本满五年 随时看房 
阳光100东向两居室+公摊14%+户型方正+总价低,阳光100国际新城B区,阳光100区,2室1厅 ,87.76, 东 , 精装 ,18, 塔楼,15, 3个月以前发布,1290000.0,"14,700元/平",VR房源 房本满五年 随时看房 
精装修，南向小户型，证过2年，随时看房子,新世界阳光花园东区,和谐广场,1室1厅 ,59.09, 南 , 精装 ,18, 板楼,27, 一年前发布,900000.0,"15,232元/平",VR看装修 房本满两年 随时看房 
纯南户型，采光无遮挡视野好，距离学,明星小区北区,腊山,2室1厅 ,49.58, 南 , 简装 ,5, 板楼,21, 10个月以前发布,490000.0,"9,884元/平",近地铁 VR看装修 房本满两年 随时看房 
阳光100K区精装两室 全明户型  看房方便,阳光100国际新城K区,阳光100区,2室1厅 ,92.72, 西北 , 精装 ,33, 板楼,4, 3个月以前发布,1390000.0,"14,992元/平",VR看装修 房本满两年 随时看房 
户型方正两居室，全明户型  采光好  出行便利,阳光100国际新城G区,阳光100区,2室2厅 ,95.82, 东北 , 精装 ,23, 板楼,5, 8个月以前发布,1420000.0,"14,820元/平",VR看装修 房本满两年 随时看房 
南辛庄、双气小三室、中间楼层、看房方便,南辛庄东路,南辛庄,3室1厅 ,65.76, 北 , 简装 ,5, 板楼,13, 3个月以前发布,750000.0,"11,406元/平",VR看装修 房本满五年 随时看房 
着急出售两室朝西   随时看 总价低  出行方便,阳光100国际新城T区,阳光100区,2室2厅 ,72.04, 西 , 精装 ,24, 塔楼,12, 6个月以前发布,1038000.0,"14,409元/平",VR看装修 房本满五年 随时看房 
客卧分离 一室一厅朝南 精装修 可拎包入住,阳光100国际新城G区,阳光100区,1室1厅 ,62.37, 南 , 精装 ,18, 板楼,33, 5个月以前发布,1050000.0,"16,836元/平",VR看装修 房本满五年 随时看房 
此房位于阳光100四期 出行方便 精装修三居室 楼层好,阳光100国际新城T区,阳光100区,2室1厅 ,88.4, 南 , 精装 ,30, 塔楼,27, 3个月以前发布,1248000.0,"14,118元/平",VR看装修 房本满五年 随时看房 
小户型 地铁口 大院停车 看房方便,明星小区北区,腊山,1室1厅 ,46.29, 南 , 简装 ,5, 板楼,0, 2个月以前发布,550000.0,"11,882元/平",近地铁 VR看装修 房本满五年 随时看房 
采光好，前方无任何遮挡，业主寻求有缘人,阳光100国际新城H区,阳光100区,2室1厅 ,71.46, 南 , 简装 ,26, 板塔结合,5, 1个月以前发布,1220000.0,"17,073元/平",VR看装修 房本满五年 随时看房 
阳光100国际新城五期新房 精装交付 临卧龙路 凤凰街,阳光100国际新城H区,阳光100区,2室1厅 ,81.48, 西南 , 精装 ,24, 板塔结合,57, 一年前发布,1450000.0,"17,796元/平",VR看装修 房本满五年 随时看房 
正规一居室 没有遮挡，采光好， 精装修 .,阳光100国际新城T区,阳光100区,1室1厅 ,44.44, 西 , 精装 ,24, 塔楼,5, 3个月以前发布,720000.0,"16,202元/平",VR看装修 房本满五年 随时看房 
此房子满两年中间楼层，诚心出售,绿地国际花都,腊山,3室1厅 ,103.33, 南 北 , 精装 ,23, 板楼,2,15,1390000.0,"13,453元/平",近地铁 VR看装修 
低首付买3居 抄低价《山师战略》學校 好楼层 三室朝阳,兴源佳苑,西客站,3室2厅 ,108.89, 南 , 简装 ,28, 板楼,10,10,1130000.0,"10,378元/平",VR看装修 
龙湖名景台，花园洋房社区，标准大三室诚心出售,龙湖名景台,西客站,3室2厅 ,122.4, 南 北 , 简装 ,9, 板楼,7,8,2180000.0,"17,811元/平",VR看装修 
和谐北邻 洋房一梯两户带电梯 带产权车位,新世界阳光花园西区,和谐广场,3室2厅 ,151.64, 南 北 , 精装 ,11, 板楼,19,14,3380000.0,"22,290元/平",VR看装修 
格局好，楼层好 通风好，采光佳 低密度小高层,龙湖名景台,西客站,3室2厅 ,124.55, 南 , 精装 ,9, 板楼,31, 2个月以前发布,2220000.0,"17,825元/平",VR看装修 房本满两年 
恒大金碧新城，两居室凤凰层，采光很好可随时看房,恒大金碧新城,西客站,2室1厅 ,87.13, 南 , 精装 ,32, 板楼,7, 4个月以前发布,1180000.0,"13,543元/平",VR看装修 房本满两年 
现代逸居电梯房175万，边户双气，南北通透临儿童医院,现代逸居,南辛庄,2室2厅 ,108.41, 南 北 , 精装 ,18, 板楼,23, 6个月以前发布,1730000.0,"15,958元/平",VR看装修 房本满五年 
房子已经满两年，精装修，南北通透,海亮艺术华府,西客站,3室2厅 ,108.4, 南 北 , 精装 ,23, 板楼,19, 1个月以前发布,1560000.0,"14,392元/平",VR看装修 房本满两年 
地铁R1+R2线，双地铁，大型社区，人车分流，房龄新,绿地国际花都,腊山,2室2厅 ,92.58, 南 北 , 精装 ,24, 板楼,17, 5个月以前发布,1190000.0,"12,854元/平",近地铁 VR看装修 房本满两年 
户型好用，生活出行方便，业主诚心出售,阳光100国际新城C区,阳光100区,3室2厅 ,105.84, 东北 , 精装 ,16, 板塔结合,11, 3个月以前发布,1550000.0,"14,645元/平",VR看装修 房本满五年 
店长推荐+中间楼层+采光好+两室朝阳+通透,经三路310号,西市场,2室2厅 ,93.38, 南 北 , 简装 ,7, 板楼,28, 5个月以前发布,1230000.0,"13,172元/平",VR看装修 房本满五年 
车位地下室都有 精装两居室 看房方便,绿地泉景园,腊山,2室2厅 ,86.15, 南 , 精装 ,18, 板楼,20, 9个月以前发布,1060000.0,"12,305元/平",近地铁 VR看装修 房本满两年 
精装修两居室，户型方正得房率高，带地下室,阳光100国际新城T区,阳光100区,3室2厅 ,141.41, 南 , 精装 ,34, 塔楼,29, 4个月以前发布,1950000.0,"13,790元/平",VR看装修 房本满五年 
南北通透三室精装户型方正采光好满五年带地下室,阳光100国际新城G区,阳光100区,3室2厅 ,141.48, 南 北 , 精装 ,18, 板楼,24, 1个月以前发布,2510000.0,"17,742元/平",VR房源 房本满五年 
此房满五年业主名下不唯一住房，南北通透，东南双阳台,阳光100国际新城G区,阳光100区,3室2厅 ,143.68, 南 北 , 精装 ,18, 板楼,13, 5个月以前发布,2330000.0,"16,217元/平",VR看装修 房本满五年 
外海一期  11层洋房  楼层好  紧靠经十路  户型方正,外海中央花园一期,腊山,2室2厅 ,95.32, 南 , 简装 ,11, 板楼,4, 7个月以前发布,1370000.0,"14,373元/平",VR房源 房本满两年 
锦绣城 装修美丽，不临街 中间楼层小三室有车位地下室,中建锦绣城,西客站,3室2厅 ,101.0, 南 , 精装 ,33, 板楼,20, 1个月以前发布,1520000.0,"15,050元/平",近地铁 VR看装修 房本满两年 
精装小2室，出行方便，交通便利。诚心出售。,中建锦绣城,西客站,2室1厅 ,85.84, 南 , 精装 ,27, 板楼,131, 2个月以前发布,1050000.0,"12,233元/平",VR看装修 房本满两年 
经十西路，外海中花园，南北通透，户型方正,外海中央花园一期,腊山,2室2厅 ,98.89, 南 北 , 精装 ,6, 板楼,9, 5个月以前发布,1350000.0,"13,652元/平",VR看装修 房本满五年 随时看房 
大两居户型 两室两厅朝东 楼层视野前后无遮挡 满五年,阳光100国际新城E区,阳光100区,2室2厅 ,109.83, 东 , 简装 ,18, 塔楼,14, 10个月以前发布,1420000.0,"12,930元/平",VR看装修 房本满五年 
精装小三室+出行方便+视野好+落地飘窗,阳光100国际新城T区,阳光100区,3室2厅 ,93.1, 西北 , 精装 ,24, 塔楼,92, 7个月以前发布,1260000.0,"13,534元/平",VR看装修 房本满五年 
西客站 金科城 婚房装修 满两年 采光好 视野宽阔,金科城,西客站,2室2厅 ,84.4, 南 , 简装 ,32, 板楼,12, 7个月以前发布,1090000.0,"12,915元/平",VR看装修 房本满两年 
西客站 弘阳广场.图书馆旁  精装三室  南北通透,海亮艺术华府,西客站,3室2厅 ,108.35, 北 南 , 精装 ,22, 板楼,26, 1个月以前发布,1480000.0,"13,660元/平",VR看装修 房本满两年 
绿地国际花都南向户型 户型方正 视野开阔 无遮挡,绿地国际花都,腊山,2室2厅 ,85.9, 南 , 简装 ,29, 板楼,29, 1个月以前发布,960000.0,"11,176元/平",近地铁 VR看装修 房本满五年 
"位置繁华 西邻印象济南泉世界和""三馆"".出行便利",海亮艺术华府,西客站,2室2厅 ,85.95, 南 , 精装 ,30, 板楼,13, 1个月以前发布,1190000.0,"13,846元/平",VR看装修 房本满五年 
西客站精装两室中间楼层采光佳，产权清晰满二诚意卖,海亮艺术华府,西客站,2室2厅 ,84.44, 南 , 精装 ,26, 板楼,44, 5个月以前发布,1130000.0,"13,383元/平",VR看装修 房本满两年 
南北通透 全明开间 楼层好 楼间距宽阔 通风好采光充足,绿地新里香榭丽公馆,西客站,3室2厅 ,110.47, 南 北 , 精装 ,31, 板楼,4, 1个月以前发布,1700000.0,"15,389元/平",VR看装修 房本满两年 
采光充足 双气 西市场 经四路 电梯房 和谐广场,东方新天地,西市场,2室2厅 ,135.0, 南 北 , 精装 ,18, 板塔结合,34, 一年前发布,1650000.0,"12,223元/平",VR看装修 房本满两年 
精装修 今年5.13日满二年 曲美家具 索菲亚橱柜,恒大雅苑,西客站,2室2厅 ,88.8, 南 , 精装 ,31, 板楼,28, 2个月以前发布,1150000.0,"12,951元/平",VR看装修 随时看房 
汇馨祥和苑 1室2厅 南,汇馨祥和苑,匡山区,1室2厅 ,46.69, 南 , 简装 ,7, 板楼,43, 11个月以前发布,360000.0,"7,711元/平",VR看装修 随时看房 
房子采光好 房产证满两年 诚心卖 精装修,三箭和平嘉园,西市场,2室2厅 ,101.06, 南 北 , 精装 ,30, 板塔结合,18, 3个月以前发布,1320000.0,"13,062元/平",VR看装修 随时看房 
西城济水上苑 2室2厅 南,西城济水上苑,西客站,2室2厅 ,93.0, 南 , 毛坯 ,33, 板楼,4, 5个月以前发布,1150000.0,"12,366元/平",VR看装修 随时看房 
两室朝阳，采光好。成熟社区。，交通便利,匡山小区,匡山区,2室1厅 ,57.78, 南 , 简装 ,6, 板楼,10, 一年前发布,630000.0,"10,904元/平",VR看装修 随时看房 
优质社区大三居 三室加客厅朝阳 小区中间 诚心出售！,新世界阳光花园东区,和谐广场,3室2厅 ,140.13, 南 , 简装 ,18, 板楼,54, 4个月以前发布,2700000.0,"19,268元/平",VR看装修 随时看房 
西市场+省立医院+华联商厦+火车站,保利中心一区,西市场,3室2厅 ,96.37, 南 , 精装 ,23, 板楼,48, 5个月以前发布,1670000.0,"17,330元/平",VR看装修 随时看房 
四室，眼镜户型，客厅朝南带阳台，空间大，高层视野好,阳光100国际新城F区,阳光100区,4室1厅 ,157.0, 东南 , 简装 ,18, 塔楼,86, 5个月以前发布,2330000.0,"14,841元/平",VR看装修 随时看房 
绿地广场 业主急售 满两年 免高税 楼层好,绿地中央广场三区,西客站,2室2厅 ,98.34, 南 , 简装 ,24, 板楼,30, 6个月以前发布,1130000.0,"11,491元/平",VR看装修 随时看房 
已下证，恒大开发精装房，1500/平精装标准，诚心卖,恒大金碧新城,西客站,3室2厅 ,111.21, 南 北 , 精装 ,32, 板楼,14, 6个月以前发布,1605000.0,"14,433元/平",VR看装修 
房本满两年 住的很干净 方正三居室,恒大雅苑,西客站,3室1厅 ,97.0, 南 北 , 简装 ,30, 板楼,13, 3个月以前发布,1350000.0,"13,918元/平",近地铁 VR看装修 
桃园小区北区 精装婚房 带全套家具家电,桃园小区北区,世购,3室2厅 ,112.18, 南 北 , 精装 ,4, 暂无数据,73, 6个月以前发布,1050000.0,"9,360元/平",近地铁 VR看装修 
花园洋房 好位置 双气 好楼层 有地下室,外海西子城市花园,匡山区,3室2厅 ,113.92, 南 北 , 简装 ,6, 板楼,18, 2个月以前发布,1580000.0,"13,870元/平",VR看装修 
南北通透两居室 精装修 中间楼层 70年产权,荣祥花园,腊山,3室2厅 ,96.74, 南 北 , 简装 ,22, 板楼,24, 5个月以前发布,1080000.0,"11,164元/平",近地铁 VR看装修 
恒大翡翠华庭 全屋精装修 空调新风系统 业主诚意出售,恒大翡翠华庭,西客站,4室2厅 ,162.94, 南 北 , 精装 ,30, 板楼,46, 一年前发布,2350000.0,"14,423元/平",VR看装修 
两室朝阳  中高楼层    精装修   电梯新房,阳光100国际新城H区,阳光100区,2室2厅 ,71.12, 南 , 精装 ,27, 板塔结合,34, 7个月以前发布,1220000.0,"17,155元/平",VR看装修 随时看房 
采光视野好 南北通透 一梯两户 阳光100三期 诚意出售,阳光100国际新城G区,阳光100区,2室2厅 ,91.26, 南 北 , 精装 ,18, 板楼,38, 一年前发布,1390000.0,"15,232元/平",VR看装修 随时看房 
槐荫区 德裕电梯房 上营东 采光好 视野棒,德裕家园二区,西市场,2室1厅 ,57.0, 南 , 简装 ,21, 板楼,9, 5个月以前发布,720000.0,"12,632元/平",VR看装修 随时看房 
二厂小户型 精装双气有小房 ，中层房主急售价格能谈,吉尔南苑,南辛庄,1室1厅 ,38.15, 南 北 , 精装 ,5, 板楼,6, 6个月以前发布,650000.0,"17,039元/平",VR看装修 随时看房 
金碧新城 精装带全部家具家电 三馆印象济南旁,恒大金碧新城,西客站,3室2厅 ,124.22, 南 北 , 精装 ,32, 板楼,37, 3个月以前发布,1680000.0,"13,525元/平",VR看装修 
免高税两居，有车位地下室，全明户型，可贷款，好房子,绿地新里香榭丽公馆,西客站,2室2厅 ,90.28, 南 北 , 简装 ,32, 板楼,7, 2个月以前发布,1125000.0,"12,462元/平",VR看装修 
低楼层 采光充足 视野开阔 南北通透 全明户型,绿地中央广场四区,西客站,2室1厅 ,98.0, 南 北 , 毛坯 ,25, 板楼,6, 一年前发布,1230000.0,"12,552元/平",近地铁 VR看装修 
省立医院宿舍，电梯房，采光好，随时看房诚心出售,省立医院一宿舍,省立医院,3室2厅 ,107.85, 南 北 , 其他 ,23, 板楼,14, 2个月以前发布,1680000.0,"15,578元/平",VR看装修 
金科城 金典三室户型 楼层好 采光视野佳 位置好,金科城,西客站,3室2厅 ,107.15, 南 , 简装 ,26, 板楼,30, 4个月以前发布,1360000.0,"12,693元/平",VR看装修 
视野开阔，楼层好，配套成熟，户型方正，精装修,恒大世纪广场,西客站,2室2厅 ,76.55, 东 , 精装 ,25, 板楼,38, 一年前发布,950000.0,"12,411元/平",VR看装修 
映月紫云城  精装小高层  视野好  诚心出售  看房方便,映月紫云城,南辛庄,2室1厅 ,80.05, 南 , 精装 ,18, 板楼,5, 1个月以前发布,1470000.0,"18,364元/平",VR看装修 
和谐旁 双气 南北通透 两居室 套内60平！！！,振兴街小区,和谐广场,2室1厅 ,56.25, 南 北 , 精装 ,6, 板楼,20, 一年前发布,860000.0,"15,289元/平",VR看装修 
房子客厅还有两个卧室都朝南，采光好，省心省力,阳光100国际新城K区,阳光100区,2室1厅 ,86.53, 南 , 简装 ,33, 板楼,24, 一年前发布,1330000.0,"15,371元/平",VR看装修 
槐苑小区 两室一厅  南北通透 中间楼层公摊低,槐苑小区,营市街,2室1厅 ,81.63, 南 北 , 精装 ,7, 板楼,6, 1个月以前发布,1280000.0,"15,681元/平",VR看装修 随时看房 
德裕家园  新世界  营东  经六路,德裕家园一区,西市场,2室1厅 ,57.9, 南 , 精装 ,28, 塔楼,9, 1个月以前发布,760000.0,"13,127元/平",VR看装修 随时看房 
户型好，楼层适中，采光好，生活方便，配套完善,匡山小区,匡山区,2室1厅 ,75.76, 南 北 , 简装 ,6, 板楼,2, 3个月以前发布,1000000.0,"13,200元/平",VR看装修 房本满五年 
花园式绿化 小区楼间距大，居住舒适度高,路劲御景城,中大槐树,2室1厅 ,86.37, 南 北 , 精装 ,28, 板楼,27, 9个月以前发布,1450000.0,"16,789元/平",近地铁 VR看装修 房本满两年 
