精装两室不沿街 全福立交桥两室两厅全明户型 客厅朝南,路劲东城,全福区,2室2厅 ,82.94, 南 , 精装 ,33, 板楼,10, 1个月以前发布,1280000.0,"15,433元/平",VR看装修 房本满两年 随时看房 
两室朝阳，采光好，前无遮挡，单独大院，停车方便,百花小区,七里河,2室2厅 ,86.0, 南 北 , 简装 ,6, 板楼,59, 3个月以前发布,1320000.0,"15,349元/平",VR看装修 
南北通透三室精装婚房有车位山大瀚阳公立幼儿园户型正,三盛国际公园,汉峪,3室2厅 ,112.31, 南 北 , 精装 ,29, 板楼,43, 5个月以前发布,2900000.0,"25,822元/平",VR看装修 
精装宽敞三居室 可贷款 楼层高  视野佳采光好,绿地城,唐冶,3室2厅 ,102.48, 南 , 精装 ,33, 板楼,56, 3个月以前发布,1350000.0,"13,174元/平",VR房源 
满二好位置、采光无遮挡、三面朝阳、户型方正三成即可,中新国际城,济钢,3室1厅 ,108.0, 南 北 , 精装 ,25, 板楼,8, 1个月以前发布,1650000.0,"15,278元/平",VR看装修 
中海御山首 府 南区  免高税 另有车位地下室随时看房,中海御山首府,华山,3室2厅 ,116.75, 南 北 , 简装 ,29, 板楼,12, 10个月以前发布,1410000.0,"12,078元/平",VR看装修 
证满两年，采光充足， 总价低，小高层,万科幸福里,济钢,3室2厅 ,105.0, 北 南 , 精装 ,18, 板楼,15, 1个月以前发布,1572000.0,"14,972元/平",VR看装修 
楼层好，采光好，山景房，户型方正。山大翰阳,三盛国际公园,汉峪,3室2厅 ,104.82, 南 , 简装 ,27, 板楼,18, 1个月以前发布,2490000.0,"23,756元/平",VR看装修 
总高11层小高层 证满两年 全明户型 随时看房,新城香溢紫郡,王舍人,3室2厅 ,95.0, 南 , 简装 ,11, 板楼,11, 5个月以前发布,1330000.0,"14,000元/平",VR看装修 
精装南北通三室，免高税，前无遮挡视野好，诚心卖,新城香溢紫郡,王舍人,3室2厅 ,99.15, 南 北 , 精装 ,34, 板楼,24, 2个月以前发布,1390000.0,"14,020元/平",VR房源 
鹊华天禧 有车位有地下室 中间楼层 出行方便,鹊华天禧,全福区,3室2厅 ,94.36, 南 北 , 简装 ,33, 塔楼,12, 4个月以前发布,1580000.0,"16,745元/平",VR看装修 
房屋诚心出售，价格可谈，随时看房子，近地铁凤凰路站,泉世界壹品,济钢,3室2厅 ,107.12, 南 , 精装 ,25, 板楼,21, 3个月以前发布,1530000.0,"14,284元/平",VR看装修 
证满两年，户型方正，带地下室，不沿街不靠路,中建新悦城,济钢,3室2厅 ,101.92, 南 北 , 简装 ,32, 板楼,8, 1个月以前发布,1480000.0,"14,522元/平",近地铁 VR看装修 
不临街，精装修，三室，双气，好楼层。,闵子骞路,洪家楼,3室1厅 ,93.53, 南 北 , 精装 ,5, 板楼,125, 一年前发布,1400000.0,"14,969元/平",VR看装修 
满二 绿地城 精装修采光视野好 带地下室 有车位,绿地城,唐冶,3室2厅 ,107.21, 南 北 , 精装 ,33, 板楼,38, 6个月以前发布,1550000.0,"14,458元/平",VR看装修 
精装小三居  户型好  区位好  小区位置好  配套设施全,绿地城,唐冶,3室2厅 ,102.48, 南 , 精装 ,33, 板楼,81, 3个月以前发布,1280000.0,"12,491元/平",VR看装修 
华能路 华信路2居室 中间楼层 双气 采光好,华信西区,七里河,2室2厅 ,79.0, 南 北 , 精装 ,7, 板楼,14, 3个月以前发布,1250000.0,"15,823元/平",VR看装修 
山大德云广场两室电梯房客厅朝阳 南北通透带地下室,彼岸新都,洪家楼,2室2厅 ,95.0, 南 北 , 精装 ,11, 板楼,12, 4个月以前发布,1630000.0,"17,158元/平",VR看装修 
历下区 冠华紫御台  楼龄新 公摊小 中楼层 采光好,冠华紫御台,全福区,3室2厅 ,113.02, 南 北 , 精装 ,28, 板楼,13, 2个月以前发布,2150000.0,"19,024元/平",近地铁 VR看装修 
山大南院宿舍教工住宅楼 3室1厅 南,山大南院宿舍教工住宅楼,山大路,3室1厅 ,72.2, 南 , 简装 ,5, 板楼,15, 7个月以前发布,1730000.0,"23,962元/平",VR房源 
恒大城复式公寓，工业北路，凤凰路交通便利,恒大城二期,王舍人,2室1厅 ,48.8, 北 , 精装 ,21, 板楼,12, 2个月以前发布,520000.0,"10,656元/平",近地铁 VR房源 
清河园2楼+荣盛时代广场+全福+证满5年免高税+带地下室,清河园,全福区,2室2厅 ,81.83, 南 北 , 简装 ,6, 板楼,22, 8个月以前发布,1050000.0,"12,832元/平",VR房源 
历城二精装修大两居，东区，即买即住正常首付,恒大名都,唐冶,2室2厅 ,94.0, 南 , 精装 ,32, 板楼,4, 6个月以前发布,1280000.0,"13,618元/平",VR看装修 
恒大城 精装公寓  中间楼层 视野采光好,恒大城,王舍人,1室1厅 ,58.8, 南 , 精装 ,31, 板塔结合,7, 8个月以前发布,395000.0,"6,718元/平",近地铁 VR房源 
尚东花园 证满两年 带车位 全天采光 诚意售,尚东1956,建筑大学,2室2厅 ,72.45, 南 北 , 精装 ,29, 板楼,6, 6个月以前发布,2380000.0,"32,851元/平",VR看装修 
此房子 全天采光 业主诚心出售 价格很合适,凤凰国际南区,经十东路,2室2厅 ,105.94, 南 , 精装 ,33, 板楼,7, 9个月以前发布,1900000.0,"17,935元/平",VR看装修 
房主诚心出售，汉峪刚需房，带装修，有车位。,中铁逸都国际,汉峪,2室2厅 ,79.37, 南 北 , 简装 ,24, 板楼,47, 9个月以前发布,1400000.0,"17,639元/平",VR看装修 
腾骐冠宸花园 即买即住 电梯阳光小一居,腾骐冠宸花园,祝甸,1室1厅 ,32.0, 南 , 简装 ,11, 板楼,33, 5个月以前发布,500000.0,"15,625元/平",近地铁 VR看装修 
证过两年，精装修，，低公摊，诚意出售。,天齐奥东花园,建筑大学,2室1厅 ,85.0, 南 , 精装 ,32, 板楼,11, 1个月以前发布,1320000.0,"15,530元/平",VR看装修 
置换急售，洪楼一 小旁一室带小房，适合父母或出租,花园小区五区,洪家楼,1室1厅 ,36.49, 南 , 简装 ,6, 板楼,28, 9个月以前发布,575000.0,"15,758元/平",近地铁 VR看装修 
保利花园不沿街88平精装两室  随时看房,保利花园,建筑大学,2室2厅 ,88.39, 南 , 精装 ,30, 板楼,40, 8个月以前发布,1250000.0,"14,142元/平",VR看装修 
东向精装修，工业北路，凤凰路，王舍人片区,恒大城,王舍人,1室1厅 ,45.12, 东 , 精装 ,31, 板楼,7, 4个月以前发布,330000.0,"7,314元/平",近地铁 VR房源 
小清河南 北园大街公交站处  历下区电梯房洋房,冠华历山吉第,全福区,2室1厅 ,77.3, 南 北 , 简装 ,11, 暂无数据,7, 2个月以前发布,1540000.0,"19,923元/平",VR看装修 
锦绣天地 证满两年 高楼层采光佳 交通便利,中新锦绣天地,济钢,3室2厅 ,108.0, 南 北 , 简装 ,22, 板楼,16,25,1490000.0,"13,797元/平",VR房源 随时看房 
新上七里河南北通透 户型方正 客厅餐厅好用 采光好,七里河路6-1号,七里河,2室2厅 ,93.63, 南 北 , 简装 ,6, 板楼,2,8,1330000.0,"14,205元/平",房本满五年 
中建凤栖第  两室朝阳户型  看房方便  证过两年,凤栖第,建筑大学,2室2厅 ,92.9, 南 , 精装 ,33, 板楼,3,9,1430000.0,"15,393元/平",
南北通透三室，格局好，采光无遮挡,中铁逸都国际,汉峪,3室2厅 ,134.16, 南 北 , 简装 ,31, 板楼,13,24,2250000.0,"16,772元/平",
汉峪金谷南 业主自住精装房 绿城物业满两年 中间楼层,德润天玺西区,汉峪,3室2厅 ,128.41, 南 北 , 精装 ,22, 板楼,4,10,3050000.0,"23,753元/平",
恒生伴山 洋房带电梯 南北通透 1梯2户 中楼层 采光好,恒生伴山,建筑大学,3室1厅 ,100.0, 南 北 , 精装 ,11, 板楼,5, 1个月以前发布,1750000.0,"17,500元/平",
绿地城 3室2厅 南,绿地城,唐冶,3室2厅 ,102.39, 南 , 简装 ,33, 板楼,7,31,1280000.0,"12,502元/平",
一楼带院 地下室带窗 两室朝南 卫生间干湿隔离,化纤小区,祝甸,2室2厅 ,75.94, 南 北 , 简装 ,6, 板楼,13, 1个月以前发布,1200000.0,"15,802元/平",VR看装修 房本满五年 
万象新天四区 户型方正 交通便利 采光充足,万象新天四区,王舍人,3室2厅 ,140.87, 西 , 精装 ,18, 板楼,3,29,2100000.0,"14,908元/平",VR看装修 
一楼带带院，小区环境安静，房子公摊小，南北通透，,兴业嘉苑新天地,七里河,2室2厅 ,96.04, 南 北 , 精装 ,12, 板楼,45, 6个月以前发布,1950000.0,"20,305元/平",VR房源 房本满两年 
带地下室 满五 楼层采光充足 交通便利 户型优质诚意卖,七里河路2-1号,七里河,2室2厅 ,94.61, 南 北 , 简装 ,7, 板楼,18, 2个月以前发布,1100000.0,"11,627元/平",VR看装修 房本满五年 
历城区 唐冶 恒大名都 南北通透三居 满两年 随时看,恒大名都,唐冶,3室2厅 ,119.7, 南 北 , 精装 ,30, 板楼,0,2,1550000.0,"12,950元/平",VR看装修 房本满两年 随时看房 
保利海德公馆 精装3室 中上楼层采光好  有地铁,保利海德公馆,祝甸,3室2厅 ,139.43, 南 北 , 精装 ,32, 板楼,0,5,2920000.0,"20,943元/平",近地铁 VR看装修 房本满五年 随时看房 
龙岱花园小区    此房南五唯一   采光好  交通便利,龙岱花园小区,全福区,3室2厅 ,225.48, 南 北 , 简装 ,6, 板楼,3,22,2000000.0,"8,870元/平",VR房源 房本满五年 随时看房 
6+7复式使用面积大，公摊下，有地下室 诚意卖,逸东花园,七里河,4室2厅 ,180.43, 南 北 , 精装 ,7, 板楼,0,7,3100000.0,"17,182元/平",VR房源 房本满两年 
满两年 原房未住  随时看房 有车位,新城香溢澜庭,王舍人,3室2厅 ,147.64, 南 北 , 毛坯 ,18, 板楼,1,7,2100000.0,"14,224元/平",VR看装修 房本满两年 随时看房 
济南融创文旅城 4室2厅 南 北,济南融创文旅城,经十东路,4室2厅 ,154.2, 南 北 , 其他 ,33, 暂无数据,0,1,2680000.0,"17,381元/平",VR房源 房本满两年 随时看房 
历城区新东站，万科新里程，有 证，单价低，正常首付,万科新里程,还乡店,2室2厅 ,81.32, 南 , 精装 ,27, 板楼,22, 一年前发布,1380000.0,"16,970元/平",VR看装修 
旅游路上稀有的联排别墅，户型好，大窗户，诚心卖,鲁信蟠龙山花园,经十东路,4室2厅 ,282.74, 南 北 , 精装 ,3, 板楼,2,7,4350000.0,"15,386元/平",VR房源 房本满五年 随时看房 
全福小高总12层 带电梯大三居 低公摊 视野佳采光好急,金色港湾,全福区,3室2厅 ,138.68, 东 南 北 , 精装 ,12, 板楼,2,14,1950000.0,"14,062元/平",VR看装修 房本满两年 随时看房 
着急出售  看房方便  好停车   采光好 楼层好,七里堡小区南区,祝甸,2室1厅 ,70.0, 南 北 , 简装 ,6, 板楼,1,5,880000.0,"12,572元/平",近地铁 VR看装修 房本满五年 随时看房 
此房满两年 全明户型 视野好 精装修 出行方便,冠华紫御台,全福区,3室1厅 ,111.21, 南 北 , 精装 ,29, 板楼,1,14,2200000.0,"19,783元/平",近地铁 VR房源 房本满两年 随时看房 
中海御山首府 3室2厅 南 北,中海御山首府,华山,3室2厅 ,117.0, 南 北 , 简装 ,29, 板楼,1,8,1620000.0,"13,847元/平",VR看装修 房本满两年 
祝甸社区 3室2厅 南 北,祝甸社区,祝甸,3室2厅 ,93.15, 南 北 , 简装 ,6, 板楼,6,8,1300000.0,"13,956元/平",近地铁 VR房源 房本满五年 
历下区 花园路 电梯花园洋房 三室朝阳,假日丽景花园小区西区,祝甸,3室1厅 ,126.33, 南 北 , 其他 ,11, 板楼,0,4,2280000.0,"18,048元/平",VR看装修 房本满五年 
无高税 不沿街 光线视野好 看房子方便 带装修,舜奥华府南区,汉峪,3室2厅 ,140.22, 南 北 , 精装 ,22, 板楼,4,21,3570000.0,"25,460元/平",VR看装修 房本满五年 随时看房 
错层 带地下室 孙村 翡翠雅郡 大三室 楼层好 有车位,碧桂园翡翠雅郡,经十东路,3室2厅 ,142.04, 南 北 , 毛坯 ,26, 板楼,5,24,1440000.0,"10,138元/平",VR看装修 房本满两年 随时看房 
百花小区 2室2厅 南 北,百花小区,七里河,2室2厅 ,109.85, 南 北 , 其他 ,6, 板楼,1,14,1720000.0,"15,658元/平",VR看装修 房本满两年 随时看房 
永大颐和园精装四室房 满二 高老层非顶,永大颐和园,建筑大学,4室2厅 ,149.53, 南 北 , 精装 ,18, 板楼,0,14,2300000.0,"15,382元/平",VR看装修 房本满两年 随时看房 
房主诚意出售 鲁能二期好房 满两年 双地铁口,鲁能泰山7号,唐冶,3室2厅 ,127.9, 南 北 , 简装 ,32, 板楼,3,14,1850000.0,"14,465元/平",VR看装修 房本满两年 随时看房 
和润幸福城 3室1厅 南 北,和润幸福城,唐冶,3室1厅 ,141.57, 南 北 , 其他 ,32, 板楼,0,10,2600000.0,"18,366元/平",VR看装修 房本满两年 随时看房 
一楼带院 两室朝阳户型 价格可以谈 业主置换,黄台电厂第二宿舍,还乡店,2室2厅 ,94.98, 南 北 , 毛坯 ,6, 板楼,2,10,1350000.0,"14,214元/平",VR房源 房本满两年 随时看房 
全福立交桥 二环东路 路劲东城二期 花园社区 双气,路劲东城,全福区,3室1厅 ,124.84, 南 , 其他 ,33, 板楼,0,9,2150000.0,"17,223元/平",VR看装修 房本满两年 随时看房 
名辉精装修，从未入住，楼层，俯瞰小区园林景观。,名辉豪庭,还乡店,3室2厅 ,106.2, 南 , 其他 ,32, 板楼,0,3,1800000.0,"16,950元/平",VR房源 房本满两年 随时看房 
联排别墅，地上三成，小区环境好，低密度，很安静,鲁信蟠龙山花园,经十东路,5室2厅 ,282.54, 南 北 , 精装 ,3, 暂无数据,27, 4个月以前发布,4445000.0,"15,733元/平",VR房源 房本满五年 随时看房 
车位地下室，电梯洋房，前后没遮挡，露台，诚意出售,东岸嘉园,经十东路,4室2厅 ,235.65, 北 南 , 毛坯 ,11, 板楼,36, 一年前发布,2750000.0,"11,670元/平",VR房源 房本满五年 随时看房 
万象新天四区上下两层房看房方便采光好无遮挡,万象新天四区,王舍人,4室2厅 ,133.51, 南 北 , 精装 ,6, 板楼,18, 11个月以前发布,2030000.0,"15,205元/平",VR房源 房本满五年 随时看房 
华龙路 5室3厅3卫  大复式  带20平楼露台,新龙家园,七里河,5室3厅 ,224.49, 南 北 , 简装 ,6, 板楼,12, 一年前发布,2990000.0,"13,320元/平",VR房源 房本满两年 随时看房 
济钢新村两室，中间楼层，免费停车，诚心卖,济钢新村中心区,济钢,3室2厅 ,128.68, 南 北 , 其他 ,21, 板楼,1,9,1480000.0,"11,502元/平",近地铁 VR房源 房本满五年 
七里堡小区南区 3室2厅 南 北,七里堡小区南区,祝甸,3室2厅 ,122.42, 南 北 , 其他 ,7, 板楼,0,5,1850000.0,"15,112元/平",近地铁 VR看装修 房本满五年 
精装 带车位 商场近 楼层好 出入方便   近山湖,中海华山珑城,华山,3室2厅 ,110.65, 南 北 , 其他 ,32, 板楼,1,4,1588000.0,"14,352元/平",VR看装修 房本满两年 
永大颐和园 3室1厅 南 北,永大颐和园,建筑大学,3室1厅 ,120.94, 南 北 , 其他 ,18, 板楼,1,2,1700000.0,"14,057元/平",VR房源 房本满五年 
工业北路236 3室2厅 南 北,工业北路236,还乡店,3室2厅 ,147.93, 南 北 , 其他 ,6, 板楼,0,5,2180000.0,"14,737元/平",VR房源 房本满五年 
急售电梯房不靠高架精装双气房龄新,重汽翡翠外滩,黄台,3室1厅 ,144.38, 西南 , 精装 ,33, 板楼,1,5,2490000.0,"17,247元/平",VR房源 房本满两年 
凤凰路旁  简装两室  2楼  不靠路  看房预约,铁骑路49号,康虹路,2室1厅 ,54.71, 南 北 , 简装 ,6, 板楼,11, 4个月以前发布,680000.0,"12,430元/平",近地铁 VR看装修 随时看房 
中铁二期精装三室，带地下室诚心出售,中铁逸都国际,汉峪,3室2厅 ,133.0, 南 北 , 简装 ,32, 板楼,60, 8个月以前发布,2360000.0,"17,745元/平",VR看装修 随时看房 
急售正规两居室，随时看房，采光好,万象新天哈佛郡,王舍人,2室1厅 ,73.71, 东 , 精装 ,22, 板塔结合,34, 1个月以前发布,915000.0,"12,414元/平",VR看装修 随时看房 
好楼层 不沿街 正常首付 房本满2 随时看房,鲁能泰山7号,唐冶,3室2厅 ,95.43, 南 北 , 毛坯 ,34, 板楼,3, 5个月以前发布,1388000.0,"14,545元/平",VR看装修 随时看房 
诚心出售，看房方便，次新房，不限售，双气工业南路,东城摩尔,七里河,3室2厅 ,134.83, 南 北 , 毛坯 ,12, 板楼,19, 7个月以前发布,2290000.0,"16,985元/平",VR看装修 随时看房 
中海御山首府 3室2厅 南 北,中海御山首府,华山,3室2厅 ,97.0, 南 北 , 精装 ,33, 板楼,11, 2个月以前发布,1250000.0,"12,887元/平",VR看装修 
御山首 府  中间楼层大三居 有证 随时过户,中海御山首府,华山,3室2厅 ,117.0, 南 , 简装 ,30, 板楼,7, 一年前发布,1490000.0,"12,736元/平",VR看装修 
鲁能大三室  南北通透户型 7米大客户开间,鲁能泰山7号,唐冶,3室2厅 ,143.77, 南 北 , 毛坯 ,32, 板楼,17, 2个月以前发布,1880000.0,"13,077元/平",VR看装修 
汉峪金谷旁，全明户型，楼层好，价格包含车位地下室,鲁邦奥林逸城,汉峪,3室2厅 ,160.0, 南 北 , 简装 ,25, 板楼,7, 2个月以前发布,2950000.0,"18,438元/平",VR房源 
满两年无高税+好楼层+南北通透大三居,舜奥华府,汉峪,3室2厅 ,141.0, 南 北 , 精装 ,23, 板楼,109, 4个月以前发布,3450000.0,"24,469元/平",VR看装修 
倒复式花园洋房，带30平小院，挑高6米地下室。,万科龙湖紫郡,济钢,3室2厅 ,140.87, 南 北 , 精装 ,8, 板楼,12, 1个月以前发布,2500000.0,"17,747元/平",近地铁 VR看装修 
万象新天四区120平精装三室证过五年总高18层小高层,万象新天四区,王舍人,3室2厅 ,119.8, 南 北 , 精装 ,18, 板楼,6, 2个月以前发布,1680000.0,"14,024元/平",VR看装修 
华皓精装好楼层三室有车位采光好业主诚心卖万科物业,华皓英伦联邦,汉峪,3室2厅 ,117.0, 南 北 , 精装 ,27, 板楼,12, 1个月以前发布,2850000.0,"24,359元/平",VR房源 
龙湖春江郦城  简装房 中间楼层采光佳 10月满二,龙湖春江郦城东区,建筑大学,3室2厅 ,114.43, 南 北 , 简装 ,18, 板楼,29, 3个月以前发布,1899000.0,"16,596元/平",VR看装修 
钢城新苑东区 精装双卫高楼层采光好 带地下室 临R2线,钢城新苑东区,济钢,3室2厅 ,133.0, 南 北 , 精装 ,17, 板楼,22, 8个月以前发布,1770000.0,"13,309元/平",近地铁 VR看装修 
精装修小三居，南北通透，万象新天，新东站，工业北路,万象新天哈佛郡,王舍人,3室2厅 ,105.69, 南 北 , 简装 ,33, 板塔结合,9, 1个月以前发布,1380000.0,"13,058元/平",VR看装修 
