中铁汇苑 2室2厅 南,中铁汇苑,奥体中路,2室2厅 ,98.75, 南 , 简装 ,26, 板塔结合,37, 11个月以前发布,2000000.0,"20,254元/平",近地铁 VR看装修 房本满五年 随时看房 
祥泰新河湾 小高层 精装修，有证，证过两年，有地下室,祥泰新河湾,康虹路,3室1厅 ,95.4, 南 , 其他 ,11, 板楼,8, 6个月以前发布,2200000.0,"23,061元/平",近地铁 VR看装修 房本满两年 
龙园 2室2厅 南 北,龙园,齐鲁软件园,2室2厅 ,96.0, 南 北 , 其他 ,26, 板楼,0,2,1900000.0,"19,792元/平",VR看装修 
高新软件园 精装复式山景房  四室 满五唯一,雅居园小区,齐鲁软件园,4室2厅 ,178.67, 北 南 , 其他 ,6, 板楼,6, 8个月以前发布,4000000.0,"22,388元/平",VR房源 房本满五年 
新河湾北  精装三居  经典户型  证满两年 碧桂园物业,祥泰新河湾,康虹路,3室2厅 ,109.16, 南 北 , 精装 ,34, 板楼,20, 2个月以前发布,2060000.0,"18,872元/平",近地铁 VR看装修 房本满两年 
满两年 带车位 业主诚心出售 采光很好 随时看房,中海奥龙觀邸,汉峪,3室2厅 ,136.72, 南 北 , 精装 ,27, 板楼,69, 8个月以前发布,3200000.0,"23,406元/平",VR看装修 房本满两年 
精装修+大三居11层洋房+有产权车库+视野好+楼层好,新生活家园北区,康虹路,3室2厅 ,133.82, 南 , 其他 ,11, 板楼,4,13,2570000.0,"19,205元/平",VR看装修 房本满五年 
新生活家园北区，南北通透，看房方便，户型方正,新生活家园北区,康虹路,3室2厅 ,129.08, 南 北 , 其他 ,11, 板楼,30, 1个月以前发布,2390000.0,"18,516元/平",VR看装修 房本满五年 
新生活家园北区 3室2厅 南,新生活家园北区,康虹路,3室2厅 ,143.21, 南 , 其他 ,11, 板楼,1, 11个月以前发布,3400000.0,"23,742元/平",VR看装修 房本满五年 
海信贤文世家 2室2厅 南,海信贤文世家,奥体中路,2室2厅 ,81.0, 南 , 其他 ,29, 板楼,2,7,1850000.0,"22,840元/平",近地铁 VR看装修 
三千米无遮挡  观山景 有车位地下室 奥龙观邸精装三室,中海奥龙觀邸,汉峪,3室2厅 ,135.62, 南 北 , 精装 ,28, 板楼,4, 1个月以前发布,3600000.0,"26,545元/平",VR看装修 房本满五年 
海信贤文世家北区房源评价...,海信贤文世家,奥体中路,3室2厅 ,109.0, 南 , 精装 ,18, 板楼,30, 4个月以前发布,2730000.0,"25,046元/平",近地铁 VR看装修 房本满两年 
精装小高层复式，11层洋房，全屋壁布，实木家具,丰奥嘉园南区,奥体中路,6室2厅 ,136.53, 南 北 , 精装 ,11, 板楼,29, 6个月以前发布,3750000.0,"27,467元/平",近地铁 VR看装修 房本满两年 
北区碧桂园物业 带车位地下室 业主诚心卖,祥泰新河湾,康虹路,2室1厅 ,79.79, 南 北 , 其他 ,34, 板楼,1,5,1500000.0,"18,800元/平",VR房源 
此房源满五年，业主精装修自住，诚心出售，,黄金时代,齐鲁软件园,3室2厅 ,123.45, 南 北 , 其他 ,7, 板塔结合,19, 7个月以前发布,2700000.0,"21,872元/平",VR看装修 房本满五年 
万达商圈方正四室 位置好 采光无遮挡 房东诚心出售,盛世花城,国际会展中心,4室1厅 ,170.0, 南 , 简装 ,24, 板楼,2,4,3400000.0,"20,000元/平",VR看装修 
丰奥嘉园南区 4室2厅 南 北,丰奥嘉园南区,奥体中路,4室2厅 ,168.0, 南 北 , 其他 ,11, 板楼,1,11,4000000.0,"23,810元/平",近地铁 VR房源 
正规三居 户型方正 无遮挡 诚心出售,新生活家园北区,康虹路,5室0厅 ,96.01, 西北 , 简装 ,28, 塔楼,47, 一年前发布,1480000.0,"15,416元/平",VR看装修 房本满五年 
此房满两年 正规户型 精装修 看房方便 诚意出售,新生活家园北区,康虹路,3室2厅 ,96.01, 东北 北 南 , 精装 ,28, 塔楼,31, 1个月以前发布,1500000.0,"15,624元/平",VR看装修 房本满五年 
房子满五 户型方正 南北通透 带地下室 采光好,盛世花城,国际会展中心,3室1厅 ,119.78, 南 北 , 其他 ,21, 板楼,40, 6个月以前发布,2100000.0,"17,533元/平",VR看装修 房本满五年 随时看房 
汇展香格里拉 1室2厅 北,汇展香格里拉,国际会展中心,1室2厅 ,65.62, 北 , 其他 ,27, 塔楼,1,5,680000.0,"10,363元/平",VR房源 随时看房 
万达旁小三室 南北通透 鑫苑国际 户型方正 诚意出售,鑫苑国际城市花园,国际会展中心,3室2厅 ,95.09, 南 北 , 精装 ,18, 板楼,12, 5个月以前发布,1650000.0,"17,352元/平",VR看装修 房本满五年 随时看房 
高新万达广场北邻小高层一梯两户南北通透,盛世花城,国际会展中心,2室2厅 ,110.93, 南 北 , 毛坯 ,12, 板楼,29, 6个月以前发布,1900000.0,"17,128元/平",VR看装修 房本满五年 随时看房 
海信贤文中心 1室0厅 南,海信贤文中心,奥体中路,1室0厅 ,45.0, 南 , 其他 ,26, 塔楼,0,6,720000.0,"16,000元/平",近地铁 VR房源 随时看房 
齐鲁软件园毛坯顶楼复式   满五唯一  带地下室,黄金时代,齐鲁软件园,6室2厅 ,251.83, 南 北 , 毛坯 ,13, 板塔结合,39, 一年前发布,4360000.0,"17,314元/平",VR房源 房本满五年 随时看房 
祥泰新河湾 3室2厅 南 北,祥泰新河湾,康虹路,3室2厅 ,115.25, 南 北 , 其他 ,11, 板楼,28, 4个月以前发布,2050000.0,"17,788元/平",VR看装修 房本满两年 随时看房 
此房满两年  看房方便  首付三成 价格可谈,祥泰新河湾,康虹路,2室2厅 ,83.12, 南 北 , 其他 ,31, 板楼,4, 4个月以前发布,1310000.0,"15,761元/平",近地铁 VR看装修 房本满两年 随时看房 
满两年 两居室 万达旁 交通便利,新生活家园南区,国际会展中心,2室1厅 ,84.6, 西 北 , 简装 ,28, 塔楼,16, 一年前发布,1300000.0,"15,367元/平",VR看装修 房本满五年 随时看房 
奥体旁 现房公寓 好楼层 精装 采光好,华创观礼中心,汉峪,1室1厅 ,55.05, 南 , 其他 ,33, 板楼,0,10,720000.0,"13,080元/平",VR房源 随时看房 
万达华府！含车位！南北通透三居室！中间楼层！毛坯,万达华府,国际会展中心,3室2厅 ,125.27, 南 北 , 毛坯 ,28, 板楼,70, 6个月以前发布,2450000.0,"19,558元/平",VR看装修 房本满两年 随时看房 
房子满2年 没有户口 户型不错，两室南向,龙园,齐鲁软件园,3室1厅 ,126.09, 南 北 , 毛坯 ,22, 板楼,30, 6个月以前发布,2350000.0,"18,638元/平",VR看装修 房本满两年 随时看房 
高新万达旁+精装三室+户型方正+地下室+车位+看房方便,万达华府,国际会展中心,3室2厅 ,142.13, 南 北 , 其他 ,30, 板楼,17, 5个月以前发布,3360000.0,"23,641元/平",VR看装修 房本满两年 随时看房 
齐鲁软件园3居室  带地下室  满五年  有钥匙  诚售,黄金时代,齐鲁软件园,3室2厅 ,123.45, 南 北 , 其他 ,7, 板塔结合,7, 5个月以前发布,2600000.0,"21,062元/平",VR看装修 房本满五年 随时看房 
鑫苑国际城市花园 2室1厅 东北,鑫苑国际城市花园,国际会展中心,2室1厅 ,77.02, 东北 , 精装 ,24, 塔楼,5, 5个月以前发布,1240000.0,"16,100元/平",VR看装修 房本满两年 随时看房 
小区中间位置   前面是7层房子 采光好 带地下室,茗筑美嘉,康虹路,2室2厅 ,94.1, 南 北 , 简装 ,11, 板楼,3, 1个月以前发布,1850000.0,"19,660元/平",VR看装修 房本满五年 随时看房 
雅居园小区 3室1厅 南 北,雅居园小区,齐鲁软件园,3室1厅 ,95.0, 南 北 , 其他 ,18, 板塔结合,3, 2个月以前发布,2050000.0,"21,579元/平",VR看装修 房本满五年 随时看房 
万达旁 满五唯一 一梯两户小洋房 低密度 带20平地下室,新生活家园北区,康虹路,2室2厅 ,91.68, 南 北 , 简装 ,11, 板楼,24, 7个月以前发布,1690000.0,"18,434元/平",VR看装修 房本满五年 随时看房 
此房业主诚心出售，无户口，无抵押，山大奥体,康桥颐东,奥体中路,1室1厅 ,79.6, 西北 , 精装 ,26, 板塔结合,30, 一年前发布,1550000.0,"19,473元/平",近地铁 VR看装修 房本满两年 随时看房 
中垠雅苑  户型方正三居室  诚意出售,中垠雅苑,齐鲁软件园,3室2厅 ,119.01, 南 北 , 简装 ,33, 板楼,42, 10个月以前发布,2690000.0,"22,604元/平",VR看装修 房本满两年 随时看房 
高新万达旁，精装两室，满五唯一,鑫苑国际城市花园,国际会展中心,2室2厅 ,73.27, 西南 , 精装 ,22, 塔楼,42, 8个月以前发布,1270000.0,"17,334元/平",VR看装修 房本满五年 随时看房 
国华印象 4室2厅 南,国华印象,齐鲁软件园,4室2厅 ,179.59, 南 , 其他 ,24, 板楼,4, 6个月以前发布,4550000.0,"25,336元/平",VR看装修 房本满两年 随时看房 
高新万达东侧 未来城 南北通透两居室中间楼层,未来城,国际会展中心,2室2厅 ,92.57, 南 北 , 简装 ,27, 板楼,15, 一年前发布,1630000.0,"17,609元/平",VR看装修 房本满五年 随时看房 
南北通透  带车位 满二  免高税  有钥匙  看房方便,国华印象,齐鲁软件园,3室2厅 ,155.23, 南 北 , 其他 ,23, 板楼,16, 5个月以前发布,3580000.0,"23,063元/平",VR看装修 房本满两年 随时看房 
高新万达旁+采光好，视野好+看房方便,新生活家园北区,康虹路,2室1厅 ,91.82, 南 北 , 其他 ,11, 板楼,13, 3个月以前发布,1680000.0,"18,297元/平",VR房源 房本满五年 随时看房 
满五年，精装修，一梯两户，公摊小，拎包入住,新生活家园北区,康虹路,2室2厅 ,97.78, 南 北 , 精装 ,11, 板楼,32, 11个月以前发布,1750000.0,"17,898元/平",VR看装修 房本满五年 随时看房 
带车位地下室 ，满五唯一 诚心出售,国华印象,齐鲁软件园,3室2厅 ,150.14, 南 北 , 简装 ,23, 板楼,16, 一年前发布,3000000.0,"19,982元/平",VR看装修 房本满五年 随时看房 
鑫苑国际城市花园 双卧朝阳 采光好视野好 户型方正,鑫苑国际城市花园,国际会展中心,2室2厅 ,76.86, 南 , 精装 ,18, 板楼,21, 5个月以前发布,1310000.0,"17,044元/平",VR看装修 房本满五年 随时看房 
万达广场北邻、1楼房、看房方便、证满2年、产权明晰,盛世花城,国际会展中心,3室2厅 ,143.35, 南 北 , 其他 ,24, 板楼,17, 10个月以前发布,2350000.0,"16,394元/平",VR看装修 房本满五年 随时看房 
精装小两居+楼层好采光无遮挡+钥匙房+诚意出售,新生活家园南区,国际会展中心,2室1厅 ,74.18, 东 , 精装 ,28, 塔楼,65, 一年前发布,1200000.0,"16,177元/平",VR房源 房本满五年 随时看房 
南北通透   户型好  采光好  楼层好  交通便利,玺园,汉峪,3室2厅 ,148.17, 南 北 , 简装 ,18, 板楼,20, 7个月以前发布,4100000.0,"27,671元/平",VR看装修 房本满五年 
自住婚房，诚意出售，价格可谈。、,万科麓山,齐鲁软件园,3室2厅 ,121.95, 南 北 , 精装 ,34, 板楼,65, 一年前发布,3500000.0,"28,701元/平",VR看装修 房本满两年 
精装自住，南北通透，户型格局好，居住舒适。,万达华府,国际会展中心,4室2厅 ,181.35, 南 北 , 其他 ,16, 板楼,6,30,4200000.0,"23,160元/平",VR房源 房本满五年 
两室朝阳+楼栋位置好+配套成熟+出行方便,明湖白鹭郡,康虹路,2室2厅 ,80.59, 南 , 其他 ,25, 板楼,2,24,1480000.0,"18,365元/平",VR看装修 房本满五年 
新东方的房子 诚心卖 可以点击问一下,新东方花园,康虹路,2室1厅 ,104.8, 南 , 其他 ,12, 板楼,8,23,1770000.0,"16,890元/平",VR房源 房本满五年 
明湖白鹭郡 2室2厅 南,明湖白鹭郡,康虹路,2室2厅 ,82.45, 南 , 其他 ,18, 板楼,3,27,1450000.0,"17,587元/平",VR看装修 房本满两年 
精装修，新房，房产证满二楼层好,万科麓城,齐鲁软件园,3室2厅 ,96.27, 南 北 , 其他 ,32, 板楼,3, 1个月以前发布,2300000.0,"23,892元/平",VR看装修 房本满两年 
满五 两梯三户 看房方便 有地下室 会展商圈,盛世花城,国际会展中心,3室2厅 ,127.0, 南 北 , 精装 ,22, 板楼,14,20,2200000.0,"17,323元/平",VR看装修 房本满五年 
高新小户型有地铁出行方便碧桂园物业,祥泰新河湾,康虹路,1室2厅 ,65.49, 南 , 简装 ,34, 板楼,5,18,1040000.0,"15,881元/平",VR看装修 房本满两年 
奥体体育馆龙奥旁！不沿街位置好！屋况很好随时看房！,中海奥龙觀邸,汉峪,5室3厅 ,284.78, 南 北 , 简装 ,3, 板楼,6,20,10080000.0,"35,396元/平",VR房源 房本满五年 
万达华府 3室2厅 南 北,万达华府,国际会展中心,3室2厅 ,143.0, 南 北 , 其他 ,16, 板楼,1,20,3200000.0,"22,378元/平",VR看装修 房本满两年 
理想嘉园精装，南北通透户型，不遮光有车位，拎包入住,理想新城,世纪大道,2室2厅 ,97.12, 南 北 , 其他 ,24, 板楼,0,23,1690000.0,"17,402元/平",VR看装修 房本满两年 
三庆汇德公馆 小高层公摊小 楼层好无遮挡 带地下室,三庆汇德公馆,康虹路,2室2厅 ,78.26, 南 , 精装 ,18, 板楼,3,30,1380000.0,"17,634元/平",VR看装修 房本满两年 
位置俱佳，大楼间距，自住装修，带产权地下室,明湖白鹭郡,康虹路,2室1厅 ,93.97, 南 北 , 其他 ,18, 板楼,1,23,1630000.0,"17,346元/平",VR看装修 房本满五年 
精装自住人车分流含产权车位 中楼层采光充足户型方正,中海天悦府,齐鲁软件园,3室2厅 ,109.54, 南 北 , 其他 ,24, 板楼,5,26,3000000.0,"27,388元/平",VR看装修 房本满五年 
天悦府，小高层，户型方正三居室，业主诚售,中海天悦府,齐鲁软件园,3室2厅 ,104.48, 南 北 , 精装 ,18, 板楼,11,22,2750000.0,"26,321元/平",VR看装修 房本满两年 
新生活家园+7层洋房+位置好+花园式小区+带地下室,新生活家园北区,康虹路,4室2厅 ,166.04, 南 北 , 精装 ,11, 板楼,9,29,3200000.0,"19,273元/平",VR看装修 房本满五年 
高绿化，楼龄新，交通便利，户型方正，看房方便,海信贤文世家,奥体中路,3室2厅 ,111.27, 南 , 其他 ,29, 板楼,6,16,2670000.0,"23,996元/平",VR看装修 房本满两年 
满二，绿化环境好，交通便利，户型方正，诚意出售,海信贤文世家,奥体中路,3室2厅 ,96.0, 南 北 , 其他 ,18, 板楼,9,25,2700000.0,"28,125元/平",近地铁 VR看装修 随时看房 
汇展香格里拉 2室1厅 北,汇展香格里拉,国际会展中心,2室1厅 ,76.5, 北 , 简装 ,27, 塔楼,7,31,760000.0,"9,935元/平",VR房源 房本满五年 
新生活家园北区，精装复式结构，南北通透，诚心出售,新生活家园北区,康虹路,5室2厅 ,217.0, 南 北 , 精装 ,11, 板楼,49, 5个月以前发布,4300000.0,"19,816元/平",VR房源 随时看房 
鑫苑国际城市花园 1室1厅 南,鑫苑国际城市花园,国际会展中心,1室1厅 ,60.63, 南 , 其他 ,18, 板楼,2,13,1090000.0,"17,978元/平",VR看装修 房本满两年 
万达旁 小高层 带地下室 采光好 配套全,水晶东座,世纪大道,2室2厅 ,86.12, 南 , 简装 ,17, 板楼,4,21,1240000.0,"14,399元/平",VR看装修 随时看房 
新东方花园、有车库、采光视野、无遮挡、证满2年,新东方花园,康虹路,2室2厅 ,107.19, 南 , 简装 ,12, 板楼,43, 4个月以前发布,1680000.0,"15,674元/平",VR房源 房本满两年 随时看房 
黄金时代大三居，总价低，单价低，业主诚心出售。,黄金时代,齐鲁软件园,3室2厅 ,162.26, 南 北 , 毛坯 ,12, 板塔结合,62, 5个月以前发布,2620000.0,"16,147元/平",VR看装修 房本满五年 随时看房 
茗筑美嘉两个卧室和客厅都朝阳的两居室,茗筑美嘉,康虹路,2室1厅 ,91.56, 南 , 简装 ,18, 板楼,29, 5个月以前发布,1500000.0,"16,383元/平",VR看装修 房本满五年 随时看房 
满二！70年住宅！可上学！正规两居室！明湖白鹭郡,明湖白鹭郡,康虹路,2室2厅 ,86.75, 东 北 , 精装 ,20, 塔楼,63, 11个月以前发布,1195000.0,"13,776元/平",VR看装修 房本满两年 随时看房 
高新万达+全明采光+生活便利+交通方便+ 户型方正,万达华府,国际会展中心,2室2厅 ,101.01, 南 北 , 毛坯 ,30, 板楼,158, 一年前发布,1600000.0,"15,841元/平",VR看装修 房本满两年 随时看房 
雅居园电梯洋房   满五年   带地下室  价格可议,雅居园小区,齐鲁软件园,3室2厅 ,134.97, 南 北 , 其他 ,11, 塔楼,8, 7个月以前发布,3000000.0,"22,228元/平",VR看装修 房本满五年 随时看房 
万达北+康虹路+南北 通透全明户型+采光充足,茗筑美嘉,康虹路,2室2厅 ,97.24, 南 北 , 简装 ,24, 板楼,5, 6个月以前发布,1695000.0,"17,432元/平",VR看装修 房本满五年 随时看房 
软件园 三居室 万科 精装修全套 满2年看房方便,万科麓城,齐鲁软件园,3室2厅 ,95.09, 南 北 , 精装 ,33, 板楼,31, 4个月以前发布,2185000.0,"22,979元/平",VR看装修 房本满两年 
证过两年，南向，楼层好，采光充足，带车位地下室,中铁汇苑,奥体中路,2室2厅 ,98.75, 南 , 精装 ,26, 板塔结合,6, 2个月以前发布,2200000.0,"22,279元/平",近地铁 VR看装修 房本满两年 
此房满五唯一，高新万达旁，采光通风好，配套齐全,水晶东座,世纪大道,2室1厅 ,71.81, 南 北 , 简装 ,17, 板楼,84, 一年前发布,1100000.0,"15,319元/平",VR看装修 房本满五年 
海信贤文世家 精装两室 证过两年 视野开阔 公摊小,海信贤文世家,奥体中路,2室2厅 ,80.79, 南 北 , 精装 ,29, 板楼,29, 4个月以前发布,1850000.0,"22,899元/平",近地铁 VR看装修 房本满两年 
新生活南区大两居 高楼层 采光好 有车位,新生活家园南区,国际会展中心,2室1厅 ,96.15, 南 , 精装 ,28, 塔楼,24, 5个月以前发布,1460000.0,"15,185元/平",VR看装修 房本满五年 
双气，能贷款，位置好，价格低，诚心出售,汇展香格里拉,国际会展中心,2室0厅 ,63.55, 南 , 精装 ,31, 塔楼,4, 7个月以前发布,500000.0,"7,868元/平",VR房源 房本满五年 
海信精装三居   好楼层   房主诚心卖  正常首付,海信慧园一区,康虹路,3室1厅 ,122.59, 南 , 精装 ,24, 板楼,50, 一年前发布,2230000.0,"18,191元/平",VR看装修 房本满五年 
新出！满二！精装婚房！有地下室！中高楼层！明湖两室,明湖白鹭郡,康虹路,2室2厅 ,80.04, 南 , 精装 ,25, 板楼,15,31,1480000.0,"18,491元/平",VR看装修 房本满五年 
